source,target,weight,sym_norm_w
100以内的加法和减法,表内乘法一,1,0.0629940788348712
100以内的加法和减法,100以内数的认识,5,0.2830692585361489
100以内的加法和减法,找规律,1,0.11785113019775793
100以内的加法和减法,简便计算,2,0.058025885318565944
100以内的加法和减法,100以内的加法和减法二,1,0.10206207261596577
100以内的加法和减法,多位数乘一位数,1,0.05892556509887897
100以内的加法和减法,解决问题,1,0.02031111159255969
表内乘法一,1～5的认识,3,0.10350983390135314
表内乘法一,数与代数,4,0.09200874124564723
表内乘法一,植树问题,1,0.07273929674533079
表内乘法一,搭配,3,0.21821789023599236
表内乘法一,时间,3,0.1636634176769943
表内乘法一,角,1,0.09759000729485333
表内乘法一,表内除法一,1,0.1259881576697424
表内乘法一,简易方程,1,0.02395252523826518
表内乘法一,公倍数,1,0.0657951694959769
表内乘法一,克与千克,1,0.1259881576697424
表内乘法一,表内乘法二,1,0.07715167498104596
可能性,大数的认识,1,0.03331483023263848
可能性,解决问题,1,0.017064747028519057
可能性,抽屉原理,4,0.36667939881128453
可能性,位置二,1,0.04503773491110449
可能性,简易方程,1,0.026621743403250103
可能性,图形测量,1,0.022327214034455325
可能性,多边形面积,1,0.031053504702226845
可能性,小数除法,2,0.04428074427700476
可能性,圆柱与圆锥,1,0.03241018617760822
可能性,比例,1,0.024499797877501263
可能性,面积,1,0.021606790785072147
可能性,因数与倍数,1,0.02630668208823282
可能性,百分数的认识,1,0.03157544889753363
大数的认识,解决问题,3,0.028993966661119752
大数的认识,整数的认识,33,0.4675327933807328
大数的认识,整数的四则运算,7,0.06715574551403125
大数的认识,面积,2,0.024474103273811745
大数的认识,万以内的加法和减法,2,0.05728331501262048
大数的认识,图形测量,3,0.03793519460140878
大数的认识,探索规律,1,0.0519174131651165
大数的认识,百分数的认识,1,0.017882822232191637
解决问题,长方体和正方体,6,0.041198453713722036
解决问题,三角形,18,0.11967069384205692
解决问题,因数与倍数,4,0.030526347499684928
解决问题,小数的意义和性质,2,0.02224970797449924
解决问题,比例,11,0.07818149351649915
解决问题,圆柱与圆锥,4,0.03760887072223008
解决问题,比的意义,38,0.24509498847145933
解决问题,分数的加、减法,3,0.021431852065179956
解决问题,简易方程,8,0.061783891062306834
解决问题,数与代数,5,0.037082846624165396
解决问题,图形测量,2,0.012954280817885737
解决问题,面积,7,0.04387701584260175
解决问题,小数的初步认识,1,0.019514284806274117
解决问题,年月日,1,0.02224970797449924
解决问题,整数的认识,2,0.014514109129006896
解决问题,折线统计图,5,0.08291976585083242
解决问题,分数除法,6,0.03137879617871429
解决问题,分数的意义和性质,4,0.0324977785480955
解决问题,三位数乘两位数,3,0.04308637422160695
解决问题,优化,2,0.07035975447302918
解决问题,整数的四则运算,10,0.049141384126872675
解决问题,三下扩展,2,0.04690650298201946
解决问题,认识统计图,7,0.08208638021853405
解决问题,圆,6,0.04940991827976849
解决问题,多边形面积,2,0.018017286871142558
解决问题,百分数的应用,5,0.08794969309128649
解决问题,图形的运动,1,0.009757142403137058
解决问题,鸡兔同笼问题,1,0.07035975447302918
解决问题,综合与实践,2,0.06293167755275526
解决问题,认识钟面,1,0.015353757178626857
解决问题,1～5的认识,2,0.02224970797449924
解决问题,分数乘法,3,0.03078907496400705
解决问题,小数除法,2,0.012845874888467699
解决问题,统计的认识,1,0.02031111159255969
解决问题,负数的初步认识,1,0.021214264175324345
解决问题,时、分、秒,1,0.009008643435571279
解决问题,表内乘法二,1,0.02487592975524973
解决问题,长方形和正方形,2,0.020526049976004702
解决问题,分数的初步认识,3,0.0385376246654031
解决问题,百分数的认识,1,0.00916005981172182
解决问题,扇形统计图,1,0.021214264175324345
解决问题,观察物体三,1,0.02224970797449924
解决问题,小数乘法,2,0.0287242494810713
解决问题,小数的加、减法,1,0.00923868837673937
解决问题,万以内的加法和减法,1,0.014671022977143325
解决问题,100以内数的认识,1,0.013798683116522041
解决问题,位置二,1,0.013065478400923492
解决问题,确定物体位置,1,0.02345325149100973
解决问题,有余数的除法,1,0.02487592975524973
解决问题,认识图形二,1,0.01816681048781899
时间,认识钟面,1,0.0545544725589981
时间,角的度量,1,0.0625
时间,多位数乘一位数,1,0.051031036307982884
时间,图形测量,1,0.023014365447458086
